id,creation_date,tags,answer_count,comment_count,favorite_count,view_count,score
67590725,2021-05-18 16:56:14.547000+00:00,wordpress|image|plugins|pageload|photography,0,0,,4,0
67381062,2021-05-04 08:15:32.727000+00:00,php|wordpress,0,0,,5,0
67404631,2021-05-05 15:50:54.797000+00:00,html|wordpress|plugins,0,0,,5,0
67572667,2021-05-17 15:27:49.177000+00:00,wordpress|slider,0,0,,5,0
67448500,2021-05-08 14:14:55.063000+00:00,wordpress|authentication,0,0,,6,0
67609981,2021-05-19 19:52:20.777000+00:00,wordpress|plugins|wordpress-theming,0,0,,6,0
67621201,2021-05-20 13:22:34.483000+00:00,wordpress|api|wordpress-rest-api,0,0,,6,0
67677177,2021-05-24 18:29:24.277000+00:00,wordpress|elementor,0,0,,6,0
67683823,2021-05-25 07:52:51.320000+00:00,wordpress|authentication|plugins|wordpress-theming|registration,0,0,,6,0
67348887,2021-05-01 17:10:25.777000+00:00,wordpress|woocommerce|plugins,0,0,,7,0
67489783,2021-05-11 15:24:58.357000+00:00,wordpress|contact-form-7,0,0,,7,0
67583388,2021-05-18 09:21:02.630000+00:00,wordpress|elementor,1,0,,7,0
67607345,2021-05-19 16:37:37.137000+00:00,wordpress|edit|display|cornerstone,0,0,,7,0
67608192,2021-05-19 17:34:58.647000+00:00,jquery|wordpress|mobile|clone|option,0,0,,7,0
67629706,2021-05-21 01:11:16.163000+00:00,wordpress|plugins|menu,0,0,,7,0
67692100,2021-05-25 16:31:59.457000+00:00,wordpress|window,0,0,,7,0
67448052,2021-05-08 13:23:08.207000+00:00,wordpress|pagination,0,0,,8,0
67485885,2021-05-11 11:32:13.560000+00:00,wordpress|plugins|hook,0,0,,8,0
67578193,2021-05-17 23:35:59.953000+00:00,wordpress|redirect|plugins|mousemove,0,0,,8,0
67588103,2021-05-18 14:16:36.593000+00:00,wordpress|api,0,0,,8,0
67590066,2021-05-18 16:12:38.993000+00:00,wordpress|datatables|ninja|ninja-forms,0,0,,8,0
67599596,2021-05-19 08:30:59.817000+00:00,php|wordpress|shortcode,0,0,,8,0
67379087,2021-05-04 05:05:33.200000+00:00,wordpress|api|rest,0,0,,9,0
67441600,2021-05-07 20:57:52.160000+00:00,wordpress|code-snippets|elementor|custom-tag,0,0,,9,0
67514432,2021-05-13 05:45:01.707000+00:00,wordpress|multisite,0,0,,9,0
67524556,2021-05-13 18:45:00.437000+00:00,wordpress|api,0,0,,9,0
67557608,2021-05-16 14:08:54.260000+00:00,wordpress|redirect|migration,0,0,,9,1
67633696,2021-05-21 08:55:00.513000+00:00,wordpress|blogs|posts,0,0,,9,0
67639141,2021-05-21 14:47:31.140000+00:00,php|wordpress|plugins|e-commerce,0,0,,9,0
67649743,2021-05-22 12:58:40.540000+00:00,php|wordpress|authentication,0,0,,9,0
67469023,2021-05-10 10:40:10.660000+00:00,php|wordpress|woocommerce-rest-api,1,0,,265,0
67371684,2021-05-03 15:33:32.167000+00:00,wordpress|themes|content-management-system|web-site-project|divi,0,0,,10,0
67418241,2021-05-06 12:33:29.930000+00:00,wordpress|advanced-custom-fields|mixitup,0,0,,10,0
67423536,2021-05-06 17:52:20.817000+00:00,html|css|wordpress|elementor,0,0,,10,0
67432364,2021-05-07 09:32:12.777000+00:00,wordpress|wordpress-theming|permalinks,0,0,,10,0
67456762,2021-05-09 10:40:22.813000+00:00,ajax|wordpress,0,0,,10,1
67474987,2021-05-10 17:20:42.117000+00:00,wordpress|elementor,0,0,,10,0
67483675,2021-05-11 09:03:20.280000+00:00,wordpress|custom-post-type|user-management,0,0,,10,0
67501837,2021-05-12 10:29:39.620000+00:00,wordpress|wordpress-theming|themes,0,0,,10,0
67535802,2021-05-14 14:12:05.183000+00:00,php|html|wordpress,0,0,,10,0
67553665,2021-05-16 06:18:27.077000+00:00,wordpress|forms|elementor,0,0,,10,0
67567109,2021-05-17 09:25:27.377000+00:00,wordpress|seo,0,0,,10,1
67602759,2021-05-19 11:55:09.560000+00:00,wordpress|dokan,0,0,,10,0
67624739,2021-05-20 16:51:06.617000+00:00,wordpress|restapi|php-curl,1,0,,10,0
